id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
340882,Apt in Venice+ terrace in Castello,1729833,Alberto,Isole,Castello,45.43544,12.34718,Entire home/apt,100,3,106,2019-10-29,0.98,4,356,3,
343849,Ca' Canaletto Venetian House,669047,Views On Venice,Isole,Dorsoduro,45.43185,12.32462,Entire home/apt,300,3,23,2018-07-16,0.31,82,283,0,M0270425448
344046,small flat close to Rialto Bridge,1729833,Alberto,Isole,Cannaregio,45.43971,12.33779,Entire home/apt,28,30,95,2021-09-09,0.86,4,230,5,
346183,2960 Ca Frari ( 7 beds ) wifi. a.c.,1755160,Davide,Isole,San Polo,45.43845,12.32478,Entire home/apt,71,2,97,2019-10-04,1.50,2,311,8,
346257,CA' ZUANE - Biennale - free wi-fi - nice view,1755413,Davide,Isole,Castello,45.43015,12.3584,Entire home/apt,95,4,39,2019-08-08,0.58,3,339,2,
348409,"SanMarco, 120mq the heart of Venice with terrace",1765622,Sebastiano,Isole,San Marco,45.43453,12.33624,Entire home/apt,260,3,108,2021-11-16,1.57,1,269,17,
352392,SPLENDID STAR SAN MARCO SQUARE,1784535,Monica,Isole,Castello,45.43598,12.33968,Entire home/apt,59,2,205,2021-11-28,2.47,4,55,42,
352478,Appartamento signorile con due ampie terrazze,1784907,Luisa,Isole,Malamocco,45.36678,12.33871,Entire home/apt,105,7,0,,,1,0,0,
356388,Casanova's room,642936,Maria,Isole,Cannaregio,45.44105,12.32103,Private room,75,2,370,2021-09-07,3.17,2,357,24,
357073,MURANO Suites BOUTIQUE Apartments - ACQUAMARE.,1567140,Elodie,Isole,Murano,45.45617,12.35442,Entire home/apt,95,1,334,2021-10-14,2.86,7,303,42,
369257,Appartamento centrale a Venezia 1,1862349,Elide,Isole,Castello,45.43729,12.33971,Entire home/apt,73,2,213,2021-10-29,2.30,4,345,14,
372379,"apartment in the center of Venice, canal view",619545,Silvia,Isole,San Polo,45.43892,12.33104,Entire home/apt,450,3,152,2019-09-27,1.35,2,365,4,
375305,Real Venice with a  breathtaking private  terrace,1784566,Nicola And Maria Chiara,Isole,Dorsoduro,45.43309,12.32188,Entire home/apt,117,2,172,2021-09-13,1.69,1,331,5,
378039,Corte San Francesco,745553,Rosanna E Francesca,Isole,Castello,45.43805,12.34673,Entire home/apt,80,3,201,2021-10-11,2.33,6,35,5,
388399,Charming Apartment with gran canal view in Rialto,1943379,P & R,Isole,San Polo,45.43945,12.33271,Entire home/apt,2000,1,342,2020-02-17,3.15,1,0,0,
396228,Apartment to visit Venice,1602248,Tiziana,Terraferma,Chirignago,45.48629,12.19725,Entire home/apt,105,4,116,2019-08-07,1.16,3,333,0,
412848,Casa Annalisa in front of San Marco,2054352,Silvia,Isole,Giudecca,45.4248,12.33663,Entire home/apt,71,2,56,2017-09-19,0.72,1,362,0,
420146,ELEGANT B&B IN THE MIDDLE OF VENICE,2089352,Silvia,Isole,Castello,45.43771,12.34641,Private room,60,1,363,2021-10-24,3.13,1,287,40,
423767,In the peace of a secret garden...,1981478,Yaya,Isole,Cannaregio,45.44243,12.32436,Entire home/apt,140,3,161,2017-09-23,1.59,1,8,0,
426097,VENICIAN ROOM WITH TERRACE,1878243,Elisabetta,Isole,Cannaregio,45.44073,12.34039,Private room,61,5,16,2018-05-01,0.38,3,8,4,
429750,Canalside flat in central Venice,2136473,David,Isole,Dorsoduro,45.43193,12.3223,Entire home/apt,174,2,52,2020-01-02,0.56,1,84,7,
431287,APARTMENT GRAPPA PARADISE,2138358,Luca,Isole,Sant'Elena,45.4294,12.3603,Entire home/apt,89,2,228,2019-07-12,2.12,2,168,5,
441868,Magical view inside Venice.,2193613,Pierantonio,Isole,Santa Croce,45.44102,12.32862,Entire home/apt,185,3,367,2021-10-24,3.38,1,333,14,
442154,Dorsoduro Jewel Box w/ Private Garden,2196999,Barbara,Isole,Dorsoduro,45.43203,12.32182,Entire home/apt,100,2,139,2021-09-13,1.50,6,156,5,
452870,Dolce Venezia Luxury Flat San Marco - free wifi,283131,Anunxiata,Isole,San Marco,45.432613,12.334112,Entire home/apt,286,3,130,2021-09-13,1.26,2,336,11,
463737,"""Alle Rondini 2""- Country House",2304427,Nicla,Terraferma,Gatta - Bondu?,45.5348,12.21644,Private room,73,2,25,2013-06-13,0.22,1,365,2,
474357,Venetian Atelier,2351876,Costanza,Isole,Giudecca,45.42791,12.32116,Entire home/apt,800,2,54,2019-03-30,0.49,1,359,1,
476112,Moisè Lounge JUST 90MT S.MARKS sq.,2360430,Centrale Venice Apartments,Isole,San Marco,45.43328,12.33631,Entire home/apt,150,3,152,2019-11-27,1.37,2,195,0,
482466,Loft in Venezia with terrace ( Ozone-Sanitizing),2368512,Fra,Isole,Dorsoduro,45.4309,12.32106,Entire home/apt,84,3,66,2019-11-02,2.22,1,184,17,
483901,Charming apt in Molino Stucky w/SPA,2396006,Marco,Isole,Giudecca,45.42789,12.31818,Entire home/apt,110,2,81,2021-08-08,0.84,1,344,3,
485892,L0'ving in Venice 5 stars apartment,2404710,Silvana,Isole,Cannaregio,45.44188,12.33425,Entire home/apt,145,3,129,2021-09-18,1.15,1,243,11,M02704211202
487484,MPA Spectacular bright 3 Bedroom home,2412054,Mpa,Isole,Cannaregio,45.4449,12.32191,Entire home/apt,165,3,62,2018-05-21,0.59,1,96,0,
487634,Charming large palazzo in center Venice,2320717,Edouard,Isole,Cannaregio,45.43849,12.33772,Entire home/apt,392,1,162,2021-11-28,1.44,1,52,3,M0270426884
487772,MP - Spectacular bright house with 3 bedrooms,2413479,Mp,Isole,Cannaregio,45.44493,12.32196,Entire home/apt,175,3,86,2018-06-28,0.75,1,96,0,
490781,APARTMENT FROM 2 TO 8 PERSONS  ROSSINI,2426720,Lorenzo,Isole,Cannaregio,45.44479,12.3327,Entire home/apt,135,3,16,2013-02-04,0.19,4,261,0,
492781,APARTMENT FROM 2 TO 6 PERSONS  VERDI,2426720,Lorenzo,Isole,Cannaregio,45.44399,12.3331,Entire home/apt,135,3,15,2019-07-29,0.13,4,312,0,
492854,APARTMENT FOR 2 PERSONS LIBERTY,2426720,Lorenzo,Isole,San Marco,45.43175,12.33379,Entire home/apt,136,3,27,2016-10-09,0.24,4,355,0,
492901,a short walk from piazza san marco,6304868,Roberta,Isole,Castello,45.4348,12.34661,Entire home/apt,290,3,18,2016-06-14,0.16,6,365,1,
493041,APARTMENT FOR 2 PERSONS DECO,2426720,Lorenzo,Isole,San Marco,45.43388,12.33485,Entire home/apt,136,3,20,2012-09-17,0.20,4,350,0,
494629,CA' AFFRESCO stunning FAMILY FLAT by Saint Mark's!,1438903,Barbara,Isole,San Marco,45.43354,12.33652,Entire home/apt,270,7,57,2019-10-05,0.59,17,141,1,M0270421192
